Naira/GBP,Naira/USD,Naira/Yuan
295.73,196.5,30.63
294.85,196.47,30.62
296.26,196.47,30.63
295.47,196.5,30.64
293.49,196.47,30.61
297.16,196.5,30.58
296.05,196.47,30.53
294.65,196.47,30.48
296.2,196.47,30.43
297.85,196.5,30.35
297.68,196.5,30.34
297.27,196.47,30.33
297.79,196.47,30.27
295.27,196.47,30.22
293.09,196.5,30.23
293.2,196.5,30.24
292.82,196.5,30.25
292.25,196.5,30.25
292.65,196.5,30.22
291.47,196.5,30.19
290.98,196.5,30.18
291.19,196.5,30.19
